id,Title,Content,SKU,"Product Type","Parent Product ID",_role_based_pricing_rules,_customer_based_pricing_rules
58603,"Curved Rafters - Black (BOGO)","<p style=""text-align:center;font-size:1.2em;font-weight:bold;""><span style=""color:red;"">*</span> Fits awnings with roller tubes with an 8' extension</p>
<p>Carefree's new Rafters are designed to add rigidity and further support to your awning. Installing the Rafter is simple and easy. It does not require a drill for installation unlike most rafters available today as it hooks directly to your awning rail and with the quick turn of the locking knob, the rafter quickly extends to fit snugly against the roll bar.</p>
<p>Carefree rafters also include an industry first utility slot to quickly hang side blockers, side panels or other awning accessories.</p>
<br/>
<div class=""container"">
<div class=""row"">
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-6 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6138.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Easy to use knob</div>
</div>
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-6 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6137.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Attaches to awning rail</div>
</div>
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-12 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6136.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Cradles your roll bar</div>
</div>
</div>
</div>",902821BLK-PR,simple,0,,
58605,"Curved Rafter - Black","<p style=""text-align:center;font-size:1.2em;font-weight:bold;""><span style=""color:red;"">*</span> Fits awnings with roller tubes with an 8' extension</p>
<p>Carefree's new Arc Rafter is a curved rafter designed to add rigidity and further support to your awning.  Installing the Arc Rafter is simple and easy.  It does not require a drill for installation unlike most rafters available today as it hooks directly to your awning rail and with the quick turn of the locking knob, the rafter quickly extends to fit snugly against the roll bar.</p>
<p>The Arc Rafter also includes an industry first utility slot to quickly hang side blockers, side panels or other awning accessories.</p>
<p>The Arc Rafter is available in black and white hardware color options.</p>",902821BLK,simple,0,,
58610,"Rafter 6 GS with Ground Support- WHITE","<h2 class=""subtitle""> Rafter 6 GS with Automatic Awning Support and Ground Support. </h2>
<p>Color= WHITE. The Rafter 6 GS provides the same benefits as the Rafter 6 plus an additional advantage: The Ground Support feature prevents the roller from sagging toward the ground while extended. The ground support and roller work together to keep your roller straight. Will not work on awnings with Uniguard.</p>
<br/>
<p>See <a href=""#consider"">Important Considerations</a> below.</p>",902865WHT,simple,0,,
58612,"Rafter 6 GS with Ground Support- SATIN","<h2 class=""subtitle""> Rafter 6 GS with Automatic Awning Support and Ground Support. </h2>
<p>Color= SATIN. The Rafter 6 GS provides the same benefits as the Rafter 6 plus an additional advantage: The Ground Support feature prevents the roller from sagging toward the ground while extended. The ground support and roller work together to keep your roller straight. Will not work on awnings with Uniguard.</p>
<br/>
<p>See <a href=""#consider"">Important Considerations</a> below.</p>",902860,simple,0,,
58614,"Rafter 6 with Automatic Awning Support - WHITE","<h2 class=""subtitle""> Rafter 6 with Automatic Awning Support. </h2>
<p>Color= WHITE . Swing it out from the travel bracket and attach it to your awning roller. Tighten the knob and swing the lever to stretch the rafter linkage and push the roller away from the RV. Make your canopy as tight as you want (you've got a lot of leverage, so take care not to stress your canopy roller). Stores on or inside your RV! Extends 8'. Will not work on awnings with Uniguard. Ground Support sold separate.</p>
<br/>
<p>See <a href=""#consider"">Important Considerations</a> below.</p>",902855WHT,simple,0,,
58616,"Rafter 6 with Automatic Awning Support - SATIN","<h2 class=""subtitle""> Rafter 6 with Automatic Awning Support. </h2>
<p>Color= SATIN . Swing it out from the travel bracket and attach it to your awning roller. Tighten the knob and swing the lever to stretch the rafter linkage and push the roller away from the RV. Make your canopy as tight as you want (you've got a lot of leverage, so take care not to stress your canopy roller). Stores on or inside your RV! Extends 8'. Will not work on awnings with Uniguard. Ground Support sold separate. </p>
<br/>
<p>See <a href=""#consider"">Important Considerations</a> below.</p>",902850,simple,0,,
58618,"LED Lights Replacement Remote and Receiver - White","<h2 class=""subtitle"">  White LEDs Remote Control-Replacement Part</h2>
<p>Replacement handheld remote for Carefree Universal White LED Light Kit PT# SR0113.  Wireless RF.  Includes 1-Replacement handheld remote control.</p>
<br/>
<p>See <a href=""#consider"">Important Considerations</a> below.</p>",R001868,simple,0,,
58620,"LED LIGHTS REPLACEMENT REMOTE-RGB COLOR","<h2 class=""subtitle"">  RGB Remote Control-Replacement Part</h2>
<p>Replacement handheld remote for Carefree Universal Color LED Light Kit PT# SR0112.  Wireless RF.  Includes 1-Replacement handheld remote control.</p>
<br/>
<p>See <a href=""#consider"">Important Considerations</a> below.</p>",R001869,simple,0,,
58622,"Awning Stabiliz'r","<p>Carefree's Awning Stabiliz'r is two support poles designed to offer further support to the Latitude, Longitude or Travel'r awnings during periods of prolonged usage or extended stays at your campsite.</p>
<br/>
<p>No drilling or dealer installation required! Quick, easy set-up as poles have an adjustment lever to quickly set them to the desired height. The Awning Stabiliz'r Pole Kit also includes stakes and straps to ensure a secure fit.</p>
<div style=""margin:10px 0px;""><p>Download the <a href=""http://www.carefreeofcolorado.com/documents/070020-001%20Awning%20Stabilizer%20Pole%20Kit.pdf"" style=""text-decoration:underline;"" target=""_blank"" rel=""noopener"">Awning Stabiliz'r Pole Kit  manual</a></p></div>",R019399-001,simple,0,,
58628,"FIAT DCTO,MTG PAD,FOR BS0009",,R001949,simple,0,,
58630,"Bluetooth Remote",,R001911,simple,0,,
58633,"LED,3000K,60LPM,5M,26"" LD",,R001884,simple,0,,
58635,"KIT,LED REMOTE",,SR0100,simple,0,,
58637,"LED,3000K,60LPM,5M,26"" LD",,R060762-002,simple,0,,
58639,"LED,3000K,60LPM,5M,8"" LD",,R060762-001,simple,0,,
58641,"HD Awning Stabiliz'r","<style>
    h3 {font-size:14px;margin-bottom:5px;color:#636466;text-align:center;}
    .pfeatures {text-align:center;}
    p strong {font-size:1.3em;color:#636466;}
    .hr {clear:both;margin-top: 15px;}

    @media screen and (max-width:1018px) {
      .col-sm-12 {margin:45px 0px;}
      .hr {display:none;}
    }
</style>
<p>The HD Awning Stabiliz'r is a new, Heavy-Duty version of the <a href=""https://www.carefreeofcolorado.com/stabilize"">Awning Stabiliz'r pole kit</a> and provides vertical support to your awning. It is the first pole kit to accommodate both box awnings and awnings with roll bars, with the versatility of fitting Carefree and competitive brand awnings. It comes standard with stakes and tie-downs to secure the poles to the awning and the ground.  Want to further stabilize your awning in less than 5 minutes? The HD Awning Stabiliz'r is your solution!</p>
<div class=""featured-product"" style=""margin-top:20px;"">
<div class=""container"">
<div class=""row"">
<div class=""col-lg-6 col-md-6 col-sm-12 pfeatures borderright"">
<img alt=""hd awning stablizer cradle"" src=""/images/rv-products/hd-stabilizr/stabilzer-cradle.jpg"" style=""width:45%;""/>
<p><strong>Cradle</strong></p>
<p>For awnings with roll bars</p>
</div>
<div class=""col-lg-6 col-md-6 col-sm-12 pfeatures"">
<img alt=""hd awning stablizr grip"" src=""/images/rv-products/hd-stabilizr/stabilzer-grip.jpg"" style=""width:45%;""/>
<p><strong>Stabiliz'r Grip</strong></p>
<p>For securing pole kit to a box awning</p>
</div>
<div class=""hr"" style=""border:2px solid #E9E9E9;""></div>
<div class=""col-lg-6 col-md-6 col-sm-12 pfeatures borderright imgmargin"">
<img alt=""hd awning stablizr knob"" src=""/images/rv-products/hd-stabilizr/stabilzer-knob.jpg"" style=""width:45%;""/>
<p><strong>Crank Knob</strong></p>
<p>Used to secure pole kit after adjusting the height</p>
</div>
<div class=""col-lg-6 col-md-6 col-sm-12 pfeatures"" style=""margin-top:15px;"">
<img alt=""hd awning stablizr stakes and straps"" src=""/images/rv-products/hd-stabilizr/stabilzer-hardware.jpg"" style=""width:45%;""/>
<p><strong>Stakes and Straps</strong></p>
<p>To secure poles to ground and awning</p>
</div>
</div>
</div>
</div>",R019399-002,simple,0,,
58643,"Universal White LED Add-On Awning Light Kit-White with Remote","<h2 class=""subtitle"">  Universal White LED Awning Add-On Light Kit</h2>
<p>Be the envy of the campsite with adjustable light that is bright enough to read by.  These fun, 3M adhesive-backed energy saving dimmable LEDs are great for parties or just enjoying the evening outside.  These lights can attach to your awning, the side of your RV or just about anywhere you want them. Simple installation: no drilling or dealer installation required! Fits all brands of RV Awnings, does not require a specialty awning roller tube.</p>
<br/>
<p>Kit Includes: 1-16' Spool of White LED lights with 3M adhesive backed peel-and-stick strip (easy trim to fit), Waterproof RF receiver, Handheld Remote, 12V Hardwired Plug, 110V Plug </p>",SR0113,simple,0,,
58648,"Universal Color with White LED Add-On Awning Light Kit-White with Remote","<h2 class=""subtitle"">  Universal 16 Color &amp; White LED Awning Add-On Light Kit</h2>
<p>Be the envy of the campsite with adjustable light that is bright enough to read by.  These fun, 3M adhesive-backed energy saving dimmable LEDs are great for parties or just enjoying the evening outside.  Features flash, fade &amp; strobe functions. These lights can attach to your awning, the side of your RV or just about anywhere you want them. Simple installation - no drilling or dealer installation required. Fits all brands of RV Awnings, does not require a specialty awning roller tube.</p>
<br/>
<p>Kit Includes: 1-16' Spool of Color/White LED lights with 3M adhesive backed peel-and-stick strip (easy trim to fit), Waterproof RF receiver, Handheld Remote, 12V Hardwired Plug, 110V Plug </p>",SR0112,simple,0,,
58654,"KIT,LED CONTROLLER/REMOTE,SNGL",,SR0109,simple,0,,
58656,"LED Switch Kit","Replacement LED switch kit for your awning LED lights.",SR0101,simple,0,,
